GivenName,Surname,Birthday
Brie,Lanoie,4/3/2004
Amedee,Routhier,4/6/1998
Brice,Chnadonnet,5/22/2001
Adèle,Villeneuve,5/19/2002
Brice,Saucier,4/12/2004
Benjamin,Deschamps,6/3/2002
Arno,Paulet,11/15/1998
Victor,Josseaume,7/12/2000
Paien,Perreault,1/17/1998
Valentine,Lafond,4/8/1999
Jacquenett,Barrientos,11/11/2000
Arno,Givry,4/4/2004
Yolande,Bériault,9/8/1996
Florismart,Louis,6/30/2002
Amabella,Saindon,9/29/2004
Peppin,Marier,12/24/1995
Olivie,Houle,5/4/1995
Richard,Thériault,2/28/2002
Azura,Boisclair,6/19/2004
Edmee,Charpie,1/14/1995
Russell,Massé,6/2/1995
Nicholas,Roux,8/29/1999
Alaine,Gregoire,10/16/2002
Éric,Dupéré,10/3/2002
Charles,Aucoin,5/7/2004
Stéphane,Boulé,5/23/2003
Russell,Barteaux,8/7/2004
Garland,Poisson,11/14/1999
Bradamate,Deniger,1/29/1999
Gallia,Joly,10/6/2004
Belda,St-Jacques,7/18/2000
Marine,Trudeau,1/21/1995
Durandana,Caouette,12/10/1997
Sydney,Dennis,4/20/1997
Bellamy,Dufour,1/24/2000
Gaston,Batard,4/25/1999
Thierry,Monrency,8/1/1997
Lucas,Boisclair,4/5/1998
Christophe,Charlebois,5/11/2004
Cher,Rossignol,10/15/1997
Merci,Chartré,4/29/2003
Turner,Parenteau,10/18/2003
Roger,Dubé,5/8/2003
Roslyn,Panetier,4/29/2003
Gilles,Margand,4/18/1996
Ganelon,Jetté,11/14/1998
Paien,Voisine,3/14/2000
Delit,Dupuis,8/2/2003
Gustave,Deserres,10/10/1997
Cécile,D'Aubigné,7/14/2002
Ermengardi,L'Heureux,7/18/2000
Jesper,Gamelin,4/24/2001
Fabienne,Martineau,5/5/2003
Élise,Pépin,4/30/1997
Afrodille,Guédry,7/25/2002
Huon,Marois,10/20/2001
Xavier,Thibault,7/18/1998
Tristan,Bisaillon,11/27/1994
Gérard,Dupuy,7/24/2002
Auda,Mazuret,2/3/1997
Kari,Longpré,11/28/2001
Rosamonde,Breton,12/16/1997
Élisabeth,Simon,5/13/2001
Julien,Lessard,10/27/2000
Anne,René,12/14/2000
Vick,Austin,2/1/2002
Pierpont,St-Jean,4/15/2003
Agnès,Chouinard,10/27/2002
Arnou,Thibault,3/13/1996
Yolande,Pépin,1/19/1996
Demi,Patel,5/15/2000
Sidney,Goulet,2/25/1997
Grosvenor,Guilmette,9/8/2001
Nathalie,Houde,4/1/2001
Zara,Croteau,1/31/1995
Pryor,Bellefeuille,9/3/1998
Crescent,Routhier,11/7/2004
Arienne,Hébert,5/31/2002
Antoinette,Paulet,9/23/2003
Slainie,Chevrette,5/17/2003
Parnella,Pichette,6/3/2003
Amorette,Longpré,5/16/2003
Harcourt,Bizier,9/17/1997
Royale,Mailloux,2/3/2001
Jolie,Leblanc,5/4/1997
Xavier,Champagne,1/1/2001
Arnou,David,9/30/2001
Berangaria,Brousseau,10/20/2003
Desire,Simon,8/28/2000
Manville,Marcil,3/27/1998
Diane,Tessier,7/22/2002
Inès,Dennis,1/13/1997
Édouard,Busson,4/15/1997
Germaine,Tremblay,10/2/2004
Charlot,Bourgouin,6/26/1997
Franck,Leroux,12/9/1995
Martine,Fouquet,2/1/1998
Thiery,Caron,6/20/2002
Amedee,Laramée,4/4/1998
Brice,Arnoux,1/1/2001
Vachel,Vaillancour,11/17/1997
Berangaria,Migneault,8/2/1995
Wyatt,Flamand,4/26/2003
Nicole,Parenteau,10/5/2000
Marthe,Lagrange,10/4/1996
Vivienne,Descoteaux,9/18/2001
Blanchefle,Pichette,3/7/1998
Ferrau,Migneault,5/11/2001
Germain,Marquis,1/26/1997
Ermengardi,Léveillé,8/3/2003
Alexandre,Louis,4/3/2003
Théodore,Bilodeau,10/2/2003
Dreux,Lanctot,10/7/2001
Albertine,Mainville,6/29/2003
Leverett,Chartier,4/2/2002
Verney,Jomphe,8/30/2004
Ancelote,Desruisseaux,8/3/2003
Blanchefle,Lamothe,6/16/1997
Nadine,Pouchard,4/10/2000
Verrill,Grandbois,11/15/1998
Alain,Descoteaux,8/27/2002
Tyson,Lanctot,1/16/1996
Romaine,Coupart,5/3/2004
Ogier,Leduc,1/25/2004
Tilly,Courtemanche,12/31/2002
Honore,Beaupré,12/12/1996
Gemma,Vadeboncoeur,10/18/1995
Laetitia,Marcil,4/10/2003
Dominique,Lécuyer,1/14/2003
Grégoire,Cyr,9/30/1999
Claudette,Franchet,10/27/2000
Latimer,Durepos,1/28/2001
Olympia,Bourassa,11/30/1995
Auriville,Belisle,5/17/1995
Aymon,Bourgeois,5/21/2000
Parfait,Duplessis,8/9/1998
Denis,Aubin,2/14/2002
Franck,Crête,7/17/1995
Emmeline,Sicard,8/11/2002
Fanette,Lauzier,11/28/1996
Burkett,Louineaux,7/15/1999
Timothée,Lereau,4/29/1997
Fanchon,Bouchard,12/7/1998
Dominique,Guernon,3/29/1999
Xavierre,Busque,9/23/2002
David,Souplet,1/18/2004
Mireille,LaGrande,1/10/1999
Gaetane,Leclair,7/10/2002
Guerin,Chartré,12/21/1997
Jay,Lacombe,12/29/1996
Paien,Morin,10/18/1995
Franck,Pépin,10/16/1999
Victor,Tachel,2/3/2003
Antoinette,Deschênes,4/6/2001
Agathe,Mailly,12/25/1997
Raymond,Lacombe,7/26/1995
Gauthier,Busson,11/14/2001
Victoire,Rivard,11/11/2003
Frédérique,Douffet,10/25/1999
Bruno,Carignan,7/31/2003
Tabor,Sorel,10/22/2004
Satordi,Camus,10/11/2002
Germaine,Brian,8/23/2001
Gilbert,Quenneville,9/8/1995
Vernon,Pomerleau,11/18/2000
Auguste,Potvin,5/14/1996
Somer,Hervé,3/21/1999
Huon,Bazinet,5/30/1995
Fanchon,Asselin,5/15/2004
Ferrau,Phaneuf,2/13/2000
Jolie,Généreux,5/4/1997
Anton,Phaneuf,3/9/1996
Joanna,Bazinet,5/13/1996
Viollette,Petrie,11/25/2002
Merlin,Daigneault,8/13/2000
Henri,Cailot,10/28/2003
Élise,"De La Ronde",12/9/2000
Robinette,Pelletier,3/3/1995
Dexter,Beaulac,7/15/1996
Auguste,Grandbois,4/20/2000
Mayhew,Laramée,8/7/2003
Wyatt,Plaisance,9/29/1998
Nicolas,Meunier,8/5/1999
Vincent,Tardif,5/15/2001
Marlon,Mailhot,9/28/2003
Timothée,Duhamel,11/18/1995
Vedette,Bilodeau,6/3/2002
Martine,Émond,1/21/2002
Inès,Cartier,10/29/1998
Peverell,Lafond,5/10/2003
Avelaine,Chassé,8/12/2000
Olivie,Pellerin,10/27/2000
Beaufort,Tachel,11/2/1999
Delit,Desilets,3/25/1999
Searlas,Labbé,3/16/1996
Michèle,Grandpré,1/24/2002
Clothilde,Arsenault,2/16/2000
Blanchefle,Lacroix,12/19/1995
Blanchefle,Bonami,10/13/2000
Huette,Rocheleau,1/28/1998
Jeannine,St-Jean,3/17/1999
Anton,Cadieux,2/9/1996
Sumner,Dodier,5/3/2004
Capucine,Sauriol,8/26/1999
Élodie,Bossé,2/12/2002
Anaïs,Abril,9/13/1999
Curtis,Beaupré,11/12/2004
Arnaude,Boisvert,3/3/2001
Maurice,LeBatelier,6/7/2003
Brunella,Marier,8/23/1997
Gilbert,Marier,9/13/1997
Montague,Austin,9/5/2002
Auriville,Pelland,7/30/1995
Laurent,Migneault,6/24/1999
Cosette,Demers,4/17/1995
Grégoire,Paradis,1/12/1998
Senior,Vachon,6/16/2001
Bernard,Hervé,5/29/2000
Alphonsine,Goudreau,1/29/1999
Bradamate,Marceau,3/9/2001
Henri,Rivière,6/20/1996
Aurore,St-Pierre,7/9/1995
Camille,Meilleur,11/4/1999
Gabriel,Grimard,3/9/2001
Charline,Rivard,11/27/2002
Roger,Lizotte,8/7/2001
Ancelote,Clavet,7/3/2004
Etoile,Auger,4/7/1996
Vick,Houde,2/14/1995
Leal,Jetté,12/28/1994
Dorothée,Sorel,2/26/2002
Victorine,Bourque,4/25/1999
Amabella,Ruais,11/25/1994
Russell,Beaujolie,10/10/2003
Ranger,Soucy,7/10/1999
Channing,Bordeaux,10/19/1996
Bruno,Plourde,10/19/1995
Gilles,Gadbois,12/17/1997
Eleanor,Léveillé,8/1/2002
Élodie,Aubin,11/29/1997
Avenall,Cressac,12/27/2002
Methena,Babin,2/17/2002
Dixie,Jetté,11/1/2001
Richard,Labossière,10/30/2002
Joseph,Bourgeois,7/16/2001
Henriette,Martineau,12/19/1994
Bertrand,Lemelin,4/13/2002
Favor,Laforest,8/31/1998
Beltane,Gosselin,11/11/2002
Musette,Flamand,1/22/1999
Rabican,Daoust,6/26/1998
Telford,Fecteau,8/2/2001
Amitee,Charlesbois,9/1/1997
Xavier,Douffet,7/21/1998
Ancelina,Primeau,3/10/2002
Rachelle,Jardine,6/9/2001
Eglantine,Godin,8/29/1999
Roux,Berthiaume,4/29/1995
Loring,Berthelette,10/8/1998
Fabien,Pirouet,12/31/1996
Auguste,Rousseau,9/27/1995
Océane,Dennis,10/26/2002
Georges,Sacré,10/27/1999
Daniel,Doucet,7/30/2000
Constance,Chicoine,8/3/1998
Kari,Ailleboust,9/29/2002
Fifi,"Des Meaux",3/10/1997
Aymon,Austin,8/31/1996
Saber,Michaud,1/1/2002
Aubrey,Angélil,9/14/1998
Royden,Courtois,8/25/2001
Joseph,Gagnon,5/3/1997
Aubert,Hétu,11/6/2002
Yvon,Bourgeau,10/3/2003
Zoé,Fongemie,5/26/1999
Fauna,Garceau,12/13/1994
Lance,Gadbois,2/7/1996
Nouel,Girard,9/16/2001
Magnolia,Bonneville,1/31/2003
Amaury,Veilleux,1/1/1997
Ansel,Cailot,2/18/1999
Arthur,L'Hiver,12/26/1995
Alfred,Drouin,4/7/1999
Germain,Quenneville,1/2/1997
Marie,Duffet,1/11/2004
Talbot,Renaud,2/26/2001
Céline,Vincent,3/3/1999
Babette,Cantin,1/20/1995
Aiglentina,Doiron,5/1/2001
Nicholas,Phaneuf,4/26/1995
Eliot,Desaulniers,1/16/2002
Aloin,Leclair,1/26/1996
Tyson,Boulanger,7/27/1999
Vedette,Richard,11/13/1997
Montague,Laliberté,12/17/1998
Clovis,Jobin,8/9/1996
Voleta,Brochu,11/7/2002
Cinderella,Abril,11/20/1996
Dalmace,Plaisance,11/1/2000
Élise,Parent,11/16/1998
Merci,Lepage,4/6/1997
Caroline,Dionne,3/9/1996
Ferrau,Course,10/19/1997
Diane,Pirouet,12/8/1997
Searlas,Létourneau,10/14/2000
Kerman,Faubert,12/14/1995
Anouk,Leroy,6/1/1995
Dielle,Cuillerier,12/22/2001
Marcelle,Courcelle,3/19/2002
Dominique,Caron,11/7/1999
Calandre,Paiement,12/11/2000
Charlot,Monjeau,8/18/1996
Josephe,D'Aoust,8/9/2004
Melisande,Martin,6/24/2001
Esperanza,Arpin,4/8/2004
Senior,Arnoux,12/10/1994
Éric,"Des Meaux",2/12/1996
Marmion,Coupart,5/1/2004
Granville,Bordeleau,3/12/1999
Armand,Bilodeau,1/15/2002
Florence,Clavette,3/27/1998
Villette,Allain,12/1/1996
Mason,Perreault,2/13/1996
Auriville,Gilbert,7/29/1995
Astrid,Bernier,10/26/1996
Delit,Émond,6/11/2001
Amaury,Pitre,3/9/2001
Franck,Trudeau,2/26/1996
Roch,Huard,11/11/2003
Mireille,Martineau,3/2/1995
Fauna,Marcoux,10/6/1997
Royale,Hervé,3/30/1995
Isaac,Gareau,6/27/2002
Josette,LaGrande,3/23/1995
Alexis,Sabourin,7/7/1998
Valentine,Salmons,5/9/2002
Christien,Paré,2/4/1995
Garland,Brodeur,3/1/2004
Aceline,Lafontaine,10/9/2003
Toussaint,Paradis,5/26/2003
Fealty,Patry,12/29/1997
Pomeroy,Marois,9/30/2000
Javier,Pelchat,2/8/2000
Richard,Bourgeois,8/18/1997
Caresse,Lajeunesse,5/3/2003
Estelle,Chnadonnet,4/24/1998
Beltane,Desilets,3/23/2002
Halette,Guilmette,10/24/2004
Fanchon,Poissonnier,6/11/1999
Germain,Gendron,11/15/2004
Aurore,Marseau,1/22/1997
Céline,Covillon,7/23/1995
Océane,Beausoleil,11/30/2001
Olivier,Ayot,4/12/2002
Marine,D'Aoust,3/12/1998
Varden,Franchet,10/21/1996
Sumner,Édouard,5/3/1996
Harcourt,Lereau,2/3/1999
Estelle,Varieur,12/2/2001
Dominic,Pitre,5/14/2004
Romain,Laux,11/4/2003
Jessamine,Busson,1/15/2004
Angelette,Chicoine,11/12/1998
Luc,Duplanty,10/24/2003
Nicolas,Rocheleau,9/30/1998
Monique,Deserres,2/7/1998
Cloridan,Paradis,8/4/1996
Émilie,Avare,9/28/1996
Leal,Thériault,4/12/1995
Vick,Veronneau,1/25/2000
Alexandrin,Souplet,11/15/1997
Bartlett,Bériault,6/22/2001
Namo,Marcoux,5/24/2000
Agnès,Quenneville,11/14/2002
Auda,Marquis,10/25/2001
Loyal,Lizotte,12/8/2003
Sacripant,Therriault,2/22/1997
Algernon,Chicoine,5/26/2004
Lothair,Bonami,8/19/1996
Arber,Majory,3/3/2002
Ray,Batard,5/7/1995
Cammile,Ménard,11/1/2000
Comforte,Chenard,1/30/2002
Bernadette,Bédard,6/30/2000
Crescent,Loiseau,5/15/2003
Amaury,Dionne,8/31/2004
Aloin,Blondlot,11/29/2001
Etoile,Parrot,10/21/2003
Creissant,Chicoine,10/9/1999
Marsilius,Parenteau,3/27/1995
Cheney,Guédry,7/4/1996
Pryor,Sevier,6/28/1997
Luce,Hachée,2/15/2004
Christelle,Cailot,1/3/1997
Raison,Tardif,10/26/2004
Dreux,Pelland,8/20/2001
Josette,Rochefort,9/19/1996
Tristan,Bériault,4/22/1995
Honoré,Brisebois,8/29/2003
Huon,"de Launay",9/5/1997
Virginie,Casgrain,8/23/2000
Sacripant,Bazinet,6/14/1999
Granville,Dumont,4/19/2000
Annot,Chalifour,5/28/1995
Andrée,Charlebois,1/17/1998
Ray,Douffet,10/15/2002
Leverett,Chabot,5/21/2001
Amedee,Gendron,8/22/1997
Vedette,Pellerin,1/6/2003
Nicolette,Forest,12/31/1995
Cosette,Arcouet,4/18/1996
Claire,Bureau,7/8/2000
Warrane,Artois,11/23/2001
Robert,Deniger,6/17/2002
Adèle,Marchesseault,5/9/2000
Cammile,Morneau,11/6/2002
Zoé,Gauvin,10/13/2002
Alacoque,Chnadonnet,3/12/2003
Audric,Gamelin,6/24/2000
Crescent,Ducharme,11/25/2000
Élisabeth,Bellefeuille,2/26/2001
Wyatt,Chrétien,7/20/1995
Théodore,Neufville,2/21/1997
Audrey,Desroches,11/3/2000
Pomeroy,Laboissonnière,7/1/2002
Royale,Cinq-Mars,7/25/1996
Arthur,Roux,4/3/1997
Malagigi,Lemelin,12/19/2001
Latimer,Laberge,12/28/1999
Isaac,David,7/4/1998
Somer,Tremblay,7/28/2003
Thierry,Tisserand,6/23/1997
Paige,Brochu,12/31/1994
Lirienne,Ailleboust,9/9/2001
Constance,Benoit,2/12/1999
Clarimunda,Faucher,7/4/1998
Marcel,Racine,9/23/2002
Tristan,Bordeleau,7/21/1997
Ormazd,Salois,5/14/2003
Thierry,Roux,10/8/1999
Lowell,Grenier,10/11/2002
Olivie,Fournier,10/19/1999
Dorothée,Durand,6/24/1995
Cloridan,Sacré,8/8/2003
Curtis,Gauvin,2/27/2003
Carole,Henrichon,3/24/2000
Karel,Charron,9/16/2004
Annette,Robitaille,9/23/2001
Aimée,Béland,7/3/1995
Gifford,"Des Meaux",4/20/2002
Faye,Corbeil,8/1/1999
Eloise,Lachapelle,4/22/2000
Huon,Caisse,10/24/2000
Fitz,Michel,12/21/1999
Philip,Gadbois,9/21/1999
Iva,Létourneau,5/27/2002
Mignonette,Alexandre,1/2/1995
Annette,Simard,11/21/2003
Raymond,Crête,10/10/1999
Anouk,Ruel,3/23/1996
Agate,"Du Trieux",9/21/1997
Landers,Vadnais,3/26/1999
Amaury,Faucher,11/3/2001
Turner,Mailloux,8/29/2003
Arridano,Sicard,8/4/1996
Sébastien,DeGrasse,5/5/1999
Valérie,Beaudoin,3/20/1999
Curtis,Duhamel,10/17/2002
Bevis,Blanc,11/15/2000
Chappell,Ratté,3/21/2001
Garland,Adler,9/18/1995
Germaine,Mainville,4/14/1995
Alexis,Marquis,12/30/1996
Millicent,Bellemare,12/5/1996
Nicolas,Courcelle,5/11/1995
Fantina,Brisette,7/14/2001
Tabor,Jalbert,1/17/1996
Leala,Caisse,12/20/1997
Burnell,Fouquet,12/7/2003
Élise,Pariseau,7/26/1999
Bevis,Massé,1/30/2001
Corinne,Bourget,6/3/1999
Jacquenett,Lemaître,1/12/1998
Germain,Paré,7/29/2002
Valérie,Grenier,11/18/2004
Philippe,Beauchamp,3/11/2003
Claude,Laliberté,7/17/1998
Creissant,Monjeau,4/25/2004
Christabel,Laux,3/21/1996
Pénélope,Mousseau,8/6/1996
André,Faure,12/14/1998
Loring,Labelle,1/26/2000
Ermengardi,Lemieux,3/29/1998
Charlot,Monty,1/22/1997
Emmanuelle,Blondlot,11/18/2000
Peverell,Vernadeau,11/1/2004
Bellamy,Garceau,9/20/1996
Aimée,Cailot,7/23/1996
Léon,Bergeron,10/23/2000
Normand,Jolicoeur,12/19/2000
Ranger,Benoit,11/20/2004
Huette,Martineau,3/24/2003
Isaac,Barjavel,12/7/2002
Trinette,Fouquet,8/8/1996
Tilly,Drouin,4/25/1998
Carole,Truchon,7/20/2003
Paulette,Bordeleau,5/6/1996
Gaston,Rochon,12/7/1997
Orva,Bousquet,1/12/2002
Gilles,Perrault,5/9/2004
Martine,Plouffe,7/7/1995
Pensee,Lacharité,4/22/1998
Philip,Laforest,12/14/2002
Valentine,Coulombe,2/1/1996
Thérèse,L'Heureux,2/4/1999
Tabor,Édouard,12/30/1998
Geoffrey,Plaisance,12/26/1999
Théophile,Huot,7/1/1998
Honoré,Robillard,4/9/1996
Laurene,Laprise,4/12/2002
Magnolia,Bourgouin,6/9/2000
Jeannine,Lajoie,8/12/2002
Favor,Boisvert,5/31/2001
Pierpont,Fecteau,1/22/2003
Alaine,Gougeon,9/21/1998
Aubrey,Courtois,2/6/1995
Olympia,Hétu,2/2/1998
Neville,Ayot,4/15/1996
Adrien,Plante,12/9/2002
Catherine,L'Angelier,11/29/1999
Harcourt,Noël,2/27/2002
Loyal,Drouin,1/15/1999
Hardouin,Lessard,10/9/1995
Merlin,Labrecque,5/16/1998
Pensee,Deschênes,2/28/1998
Claude,Galarneau,9/14/2002
Royce,Deschamps,7/30/1996
Joy,Provencher,8/21/2001
Fanchon,Duplessis,3/11/2003
Denise,David,2/23/2001
Franck,Riquier,8/26/2004
Gaston,D'Aoust,11/20/1998
Hedvige,Gousse,12/27/1998
Morgana,Brodeur,12/26/1995
Verrill,Duval,7/30/1995
Audric,Perillard,2/28/1998
Sennet,Lalonde,3/24/2002
Hilaire,Michel,9/3/2002
Fleur,Arsenault,7/13/2000
Eleanor,Dandonneau,8/28/2000
Hedvige,Davignon,10/30/2000
Burnell,Aucoin,3/10/2003
Burnell,Bériault,6/11/2002
Calandre,Langlais,9/18/2003
Arienne,Mireault,7/24/1999
Morgana,Laforest,3/15/2001
Vachel,L'Angelier,5/17/2002
Marine,Laframboise,9/21/2002
Harriette,Duhamel,2/11/2003
Odo,Vachon,2/5/1998
Joy,Plaisance,3/24/2000
Luce,Lachance,10/26/1996
Capucine,Plouffe,8/22/2001
Onfroi,Brisebois,6/11/2002
Musette,Caron,7/15/1996
Germain,Auger,9/26/1999
Adrien,Cliche,11/4/2003
Oriel,Covillon,10/23/2003
Daisi,Varieur,8/25/2001
Émile,Jolicoeur,7/23/1995
Maslin,Labrie,4/13/2002
Sabine,Vachon,10/4/2000
Astolpho,Cinq-Mars,4/22/2004
Tilly,Pomerleau,5/8/1998
Orlene,Grondin,7/14/1999
Henri,Lanoie,7/27/2000
Verrill,Sauriol,10/1/1997
Yvon,Paulet,1/1/2002
Delphine,Salmons,8/22/1999
Guillaume,Collin,11/9/2000
Fabienne,Déziel,3/19/1995
Alphonse,Louis,10/4/1999
Caresse,Allain,5/15/1995
Soren,Courcelle,11/13/1996
Philip,Bilodeau,12/23/2003
Jean,Savoie,7/4/1995
Émile,Beaulac,5/9/1999
Forrest,Joly,9/2/1999
Agrican,Laurent,10/4/2000
Charlot,Dubé,9/6/1996
Campbell,Jacques,7/3/1996
Fayme,Echeverri,2/5/2001
Lothair,Favreau,8/20/2004
Fabrice,Poulin,12/21/1994
Christien,Gingras,7/4/1998
Marcel,Déziel,1/12/1999
Dominique,Piedalue,3/22/1995
Philippe,Mailly,12/18/1997
Alexandre,Fugère,5/14/2003
Azura,Gougeon,2/15/1997
Sophie,Lépicier,7/17/2004
Rosemarie,Cuillerier,1/1/1999
Stéphane,Moreau,11/17/1997
Musette,Louineaux,4/22/2000
Nathalie,Boncoeur,10/14/1999
Satordi,Cuillerier,5/20/1996
Richard,Hachée,7/16/2001
Caresse,Varieur,10/24/2003
Chappell,Sevier,7/22/1996
Gabriel,Laframboise,11/6/2000
Émile,Chalut,8/31/2000
Victor,Cressac,3/29/1997
Barry,Ricard,3/28/2002
Ranger,Douffet,11/8/1995
Étienne,Bourget,11/24/1998
Dorothée,Avare,3/20/1996
Oliver,Vallée,10/8/2000
Verrill,Reault,12/21/1997
Émilie,Boulanger,7/23/2000
Victorine,Caisse,5/10/1997
Armand,Latourelle,5/16/1995
Bernadette,Labrosse,12/12/2000
Ignace,Sirois,10/4/1997
Quennel,Hébert,10/22/2001
Mason,Lavallée,8/15/1997
Roxanne,Lauzier,4/2/2001
